교과,학년군,성취기준코드,평가요소,상,중,하
국어,1-2학년군,[2국04-02],문법,소리와 표기가 같거나 다를 수 있음을 정확하게 알고 단어를 바르게 읽고 쓸 수 있다.,소리와 표기가 같거나 다를 수 있음을 알고 단어를 읽고 쓸 수 있다.,소리와 표기가 같거나 다를 수 있음을 부분적인 수준에서 알고 단어를 읽고 쓴다.
국어,1-2학년군,[2국04-03],문법,"문장 부호를 정확하게 알며, 문장과 문장 부호를 적절하게 쓰고 한글에 지속적인 호기심을 가진다.","문장 부호를 알며, 문장과 문장 부호를 적절하게 쓰고 한글에 호기심을 가진다.","문장 부호를 일부 알며, 문장과 문장 부호를 쓰고 한글에 호기심을 가진다."
국어,1-2학년군,[2국05-01],문학,말놀이에 적극적으로 참여하고 분위기를 살려 작품을 낭송하며 말의 재미와 즐거움을 느낄 수 있다.,말놀이에 참여하고 작품을 낭송하며 말의 재미와 즐거움을 느낄 수 있다.,간단한 말놀이나 작품 낭송에서 말의 재미를 느낀다.
국어,1-2학년군,[2국05-02],문학,작품을 듣거나 읽으면서 느끼거나 생각한 점을 구체적으로 말하며 감상을 다른 사람과 즐겨 나눌 수 있다.,작품을 듣거나 읽으면서 느끼거나 생각한 점을 말하며 감상을 다른 사람과 나눌 수 있다.,작품을 듣거나 읽으면서 느끼거나 생각한 점을 간단한 말로 표현한다.
국어,1-2학년군,[2국05-03],문학,"작품 속 인물의 모습, 행동, 마음을 구체적으로 상상하여 시, 노래, 이야기, 그림 등 다양한 방식으로 창의적으로 표현할 수 있다.","작품 속 인물의 모습, 행동, 마음을 상상하여 시, 노래, 이야기, 그림 등으로 표현할 수 있다.","작품 속 인물의 모습, 행동, 마음을 일부 상상하여 시, 노래, 이야기, 그림 등으로 간단하게 표현한다."
국어,1-2학년군,[2국05-04],문학,"다양한 시나 노래, 이야기를 스스로 찾아 감상하며 흥미를 가진다.","다양한 시나 노래, 이야기를 감상하는 데에 흥미를 가진다.","시나 노래, 이야기를 듣거나 읽는 데 관심을 가진다."
국어,1-2학년군,[2국06-01],매체,일상의 다양한 매체와 매체 자료에 대해 흥미와 관심이 높고 매체와 매체 자료의 종류와 특징을 구체적으로 안다.,일상의 다양한 매체와 매체 자료에 대해 흥미와 관심이 있고 매체와 매체 자료의 종류를 안다.,"매체와 매체 자료에 대한 흥미나 관심을 가지고, 매체와 매체 자료의 일부 종류를 안다."
국어,1-2학년군,[2국06-02],매체,다양한 방식으로 글과 그림을 활용하여 일상의 경험과 자신의 생각을 효과적으로 표현할 수 있다.,글과 그림을 활용하여 일상의 경험과 자신의 생각을 표현할 수 있다.,글이나 그림을 일부 활용하여 자신의 경험이나 생각을 부분적으로 표현한다.
수학,1-2학년군,[2수01-02],수와 연산-네 자리 이하의 수,"세 자리 수 또는 네 자리 수를 각 자리의 숫자가 나타내는 수들의 합으로 나타내고, 수를 읽고 쓸 수 있다.","세 자리 수 또는 네 자리 수에서 각 자리의 숫자가 나타내는 수를 말하고, 수를 읽고 쓸 수 있다.","일, 십, 백 또는 천의 자리를 알고, 세 자리 수 또는 네 자리 수를 읽고 쓸 수 있다."
수학,1-2학년군,[2수01-03],수와 연산-네 자리 이하의 수,"네 자리 이하의 수의 범위에서 수의 계열을 이해하고 여러 가지 방법으로 수를 세며, 수의 크기를 비교하고 그 방법을 설명할 수 있다.","네 자리 이하의 수의 범위에서 수의 계열을 이해하여 뛰어 세기를 하고, 수의 크기를 비교할 수 있다.","네 자리 이하의 수의 범위에서 수를 순서대로 말하고, 구체적인 조작 활동을 통하여 수의 크기를 비교할 수 있다."
